"","x"
"1","3"
"2","2"
"3","3"
"4","1"
"5","1"
"6","3"
"7","3"
"8","1"
"9","1"
"10","3"
"11","1"
"12","1"
"13","2"
"14","2"
"15","2"
"16","2"
"17","3"
"18","2"
"19","2"
"20","3"
"21","1"
"22","1"
"23","3"
"24","3"
"25","3"
"26","3"
"27","1"
"28","2"
"29","1"
"30","1"
"31","1"
"32","2"
"33","2"
"34","1"
"35","3"
"36","2"
"37","3"
"38","2"
"39","3"
"40","2"
"41","3"
"42","3"
"43","3"
"44","1"
"45","2"
"46","3"
"47","3"
"48","1"
"49","1"
"50","3"
"51","1"
"52","3"
"53","3"
"54","3"
"55","1"
"56","2"
"57","2"
"58","3"
"59","2"
"60","1"
"61","3"
"62","3"
"63","1"
"64","2"
"65","3"
"66","1"
"67","1"
"68","2"
"69","2"
"70","3"
"71","2"
"72","3"
"73","3"
"74","2"
"75","1"
"76","3"
"77","3"
"78","1"
"79","3"
"80","1"
"81","1"
"82","3"
"83","2"
"84","1"
"85","3"
"86","3"
"87","3"
"88","1"
"89","1"
"90","1"
"91","2"
"92","2"
"93","1"
"94","2"
"95","1"
"96","1"
"97","1"
"98","2"
"99","2"
"100","1"
"101","3"
"102","2"
"103","2"
"104","2"
"105","1"
"106","1"
"107","1"
"108","1"
"109","2"
"110","1"
"111","2"
"112","1"
"113","3"
"114","1"
"115","1"
"116","3"
"117","3"
"118","2"
"119","3"
"120","3"
"121","2"
"122","2"
"123","3"
"124","1"
"125","1"
"126","2"
"127","1"
"128","3"
"129","2"
"130","3"
"131","2"
"132","3"
"133","2"
"134","1"
"135","2"
"136","1"
"137","2"
"138","2"
"139","3"
"140","2"
"141","3"
"142","2"
"143","3"
"144","1"
"145","2"
"146","2"
"147","2"
"148","2"
"149","2"
